EmployeeID,HireDate,ExitDate,EmploymentStatus,EmploymentType,Age,Gender,MaritalStatus,StateOfOrigin,Education,EducationField,Department,JobLevel,YearsAtCompany,YearsInRole,TotalWorkingYears,YearsSinceLastPromotion,NumberOfPromotions,MonthlyIncome,SalaryBand,LastSalaryIncreasePct,BonusReceived,PerformanceRating,TrainingTimesLastYear,TargetsMetPct,JobSatisfaction,WorkLifeBalance,ManagerRelationship,EnvironmentSatisfaction,EngagementScore,DistanceFromHome,OvertimeFrequency,BusinessTravel,RemoteWorkOption,Attrition,Reason_for_Leaving
EMP-00001,1/2/2015,,Active,Permanent,36,Female,Single,Kano,4,Business Administration,Central Operations Department,2,10.0,5.1,11.2,3.5,1,780118,Junior,11.6,Yes,1,5,23.7,4,4,3,4,95,240,Sometimes,Occasional,No,No,
EMP-00002,1/3/2015,12/20/2017,Resigned,Permanent,26,Male,Single,Lagos,2,Computer Science,Credit Administration Department,2,10.0,7.9,10.0,0.4,0,629909,Junior,7.8,No,4,1,96.4,2,3,2,3,58,24,Rarely,Occasional,No,Yes,CAREER BREAK
EMP-00003,1/3/2015,,Active,Permanent,44,Female,Married,Kogi,3,Computer Science,Retail Banking Department,4,10.0,4.9,15.7,1.6,3,3407273,Senior,12.0,Yes,3,1,74.8,4,2,2,4,74,520,Sometimes,No Travel,Yes,No,
EMP-00004,1/3/2015,5/2/2021,Resigned,Contract,32,Male,Single,Abuja (FCT),1,Business Administration,Internal Audit Department,1,10.0,6.2,10.0,2.8,0,207995,Contract,4.8,No,2,1,65.4,3,3,3,2,71,558,Often,Occasional,No,Yes,CAREER PROGRESSION
EMP-00005,1/5/2015,,Active,Permanent,26,Female,Single,Edo,4,Banking & Finance,Risk Management Department,2,10.0,4.4,10.0,3.1,1,689007,Junior,13.2,Yes,3,2,84.8,2,4,3,3,73,651,Sometimes,Occasional,No,No,
EMP-00006,1/5/2015,9/23/2015,Resigned,Permanent,26,Male,Single,Lagos,4,Computer Science,Public Sector Department,2,10.0,1.9,10.0,3.4,0,743626,Junior,14.7,No,3,1,76.8,3,4,4,3,86,15,Sometimes,No Travel,No,Yes,PERSONAL REASONS
EMP-00007,1/6/2015,4/4/2023,Resigned,Permanent,29,Male,Married,Lagos,3,Information Technology,Retail Banking Department,2,10.0,3.0,10.0,6.0,0,692144,Junior,12.3,No,3,3,80.7,2,1,4,1,50,20,Never,Occasional,No,Yes,CAREER BREAK
EMP-00008,1/7/2015,,Active,Permanent,40,Male,Married,Anambra,4,Economics,Retail Banking Department,4,10.0,2.2,12.0,2.3,3,3043838,Senior,15.0,Yes,3,3,81.5,4,3,1,3,70,235,Always,Occasional,No,No,
EMP-00009,1/7/2015,,Active,Permanent,30,Male,Married,Lagos,3,Information Technology,Clearing & Settlement Department,2,10.0,4.3,10.0,6.0,1,792185,Junior,8.7,No,4,1,92.8,3,3,3,3,79,16,Rarely,No Travel,No,No,
EMP-00010,1/9/2015,,Active,Permanent,25,Female,Single,Ogun,3,Finance,Credit Administration Department,2,10.0,2.1,10.0,3.9,1,783496,Junior,11.3,Yes,3,1,71.2,3,3,3,4,85,114,Rarely,No Travel,No,No,
EMP-00011,1/11/2015,,Active,Permanent,28,Male,Single,Kaduna,3,Accounting,Risk Management Department,2,10.0,8.0,10.0,4.8,0,751442,Junior,5.3,Yes,3,4,76.8,3,2,3,4,77,206,Rarely,Occasional,No,No,
EMP-00012,1/11/2015,,Active,Permanent,40,Female,Married,Ekiti,4,Finance,Human Resources & Talent Management,4,10.0,7.6,15.1,4.8,3,2154942,Senior,6.9,Yes,4,0,95.9,3,2,3,4,73,448,Sometimes,Occasional,Yes,No,
EMP-00013,1/11/2015,2/23/2020,Resigned,Contract,34,Male,Married,Rivers,2,Economics,Branch Operations Department,1,10.0,4.3,10.7,4.6,0,212805,Contract,0.4,No,3,1,72.7,1,1,3,2,47,271,Sometimes,No Travel,No,Yes,CAREER PROGRESSION
EMP-00014,1/11/2015,,Active,Permanent,44,Male,Married,Imo,4,Accounting,Internal Control & Anti-Fraud Unit,5,10.0,7.3,15.0,2.9,4,4345377,Executive,8.1,No,3,1,79.6,3,2,1,4,60,641,Rarely,No Travel,No,No,
EMP-00015,1/12/2015,,Active,Permanent,48,Male,Married,Lagos,4,Banking & Finance,Treasury & Markets Department,4,10.0,8.2,15.8,1.8,2,2832304,Senior,12.9,Yes,3,2,89.2,3,3,3,3,73,34,Sometimes,No Travel,No,No,
EMP-00016,1/13/2015,,Active,Permanent,28,Male,Single,Abuja (FCT),3,Accounting,Data Analytics & Business Intelligence,3,10.0,6.2,10.0,3.9,1,901967,Mid,3.5,Yes,4,2,89.5,3,2,1,4,66,517,Often,Occasional,No,No,
EMP-00017,1/14/2015,,Active,Permanent,32,Female,Married,Ogun,3,Finance,Public Sector Department,2,10.0,5.2,10.0,4.7,1,755494,Junior,7.7,No,2,2,55.5,3,1,3,4,69,60,Sometimes,No Travel,No,No,
EMP-00018,1/15/2015,,Active,Permanent,27,Male,Single,Delta,2,Business Administration,Retail Banking Department,2,10.0,2.3,10.0,3.3,1,789647,Junior,4.2,Yes,3,2,82.4,3,1,3,1,49,552,Sometimes,Occasional,No,No,
EMP-00019,1/15/2015,,Active,Permanent,38,Male,Married,Lagos,3,Finance,Retail Banking Department,3,10.0,8.4,13.5,5.3,1,1281891,Mid,7.4,Yes,2,2,51.1,2,4,4,4,92,34,Never,Occasional,Yes,No,
EMP-00020,1/19/2015,1/20/2024,Resigned,Permanent,36,Female,Married,Delta,4,Economics,Customer Service / Customer Experience Department,2,9.9,1.4,10.2,5.8,1,725571,Junior,11.5,Yes,4,5,99.1,4,4,4,1,84,477,Rarely,No Travel,No,Yes,BETTER OPPORTUNITY
EMP-00021,1/22/2015,,Active,Permanent,43,Female,Married,Lagos,3,Engineering,Digital Banking Department,3,9.9,1.9,15.0,0.1,1,936974,Mid,10.2,Yes,3,0,85.6,4,3,3,3,81,36,Sometimes,No Travel,Yes,No,
EMP-00022,1/22/2015,,Active,Permanent,47,Female,Married,Lagos,5,Mathematics,Retail Banking Department,5,9.9,4.2,15.3,2.5,4,5962448,Executive,7.3,Yes,3,4,77.7,4,2,4,2,74,56,Always,Frequent,No,No,
EMP-00023,1/22/2015,,Active,Permanent,28,Male,Single,Abuja (FCT),4,Finance,Customer Service / Customer Experience Department,2,9.9,6.2,9.9,2.9,1,767606,Junior,10.4,Yes,4,2,88.2,3,2,4,3,73,555,Never,Occasional,No,No,
